index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,RR:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,0,2.2871e+06,19999.3,25859.1,1.0858e+07,1.15368e+07,296174,364344,1.0132e+08,0,0,0,0
0,1,2.28303e+06,20374.5,26336.9,1.08223e+07,1.15009e+07,301588,370921,1.01383e+08,454.434,629.615,454.434,629.615
0,2,2.27402e+06,20536.2,26530.4,1.07762e+07,1.14544e+07,303775,373329,1.01488e+08,460.38,637.55,460.38,637.55
0,3,2.26495e+06,20441.7,26379.9,1.07377e+07,1.14149e+07,302379,371166,1.01588e+08,460.931,637.684,460.931,637.684
0,4,2.25984e+06,20175.1,26001.8,1.07194e+07,1.1395e+07,298514,365939,1.0165e+08,456.72,631.045,456.72,631.045
0,5,2.26043e+06,19869.6,25578.9,1.07242e+07,1.13978e+07,294026,360076,1.01661e+08,450.124,621.185,450.124,621.185
0,6,2.26602e+06,19645.6,25275.9,1.07465e+07,1.14181e+07,290633,355797,1.0163e+08,443.957,612.239,443.957,612.239
0,7,2.27417e+06,19571.8,25185.6,1.07753e+07,1.14452e+07,289347,354380,1.01577e+08,440.344,607.275,440.344,607.275
0,8,2.28184e+06,19653.3,25313.8,1.07991e+07,1.14681e+07,290287,355936,1.01529e+08,440.142,607.481,440.142,607.481
0,9,2.28649e+06,19840.5,25591.4,1.08097e+07,1.14785e+07,292793,359558,1.01506e+08,442.909,612.129,442.909,612.129
0,10,2.28694e+06,20052.1,25904.8,1.08047e+07,1.14741e+07,295734,363729,1.01516e+08,447.226,619.064,447.226,619.064
0,11,2.28367e+06,20206.5,26139.1,1.07877e+07,1.1458e+07,297947,366895,1.01555e+08,451.284,625.559,451.284,625.559
0,12,2.27841e+06,20252.5,26221.3,1.07662e+07,1.14377e+07,298678,368049,1.01609e+08,453.578,629.348,453.578,629.348
0,13,2.27341e+06,20186.8,26144.8,1.07486e+07,1.14211e+07,297838,367071,1.01659e+08,453.455,629.445,453.455,629.445
0,14,2.27045e+06,20048.9,25963.4,1.07404e+07,1.14136e+07,295948,364660,1.01691e+08,451.272,626.388,451.272,626.388
0,15,2.27029e+06,19899.4,25760.8,1.0743e+07,1.14166e+07,293847,361929,1.01699e+08,448.116,621.807,448.116,621.807
0,16,2.27256e+06,19793.4,25614,1.07538e+07,1.14276e+07,292318,359918,1.01687e+08,445.267,617.615,445.267,617.615
0,17,2.27608e+06,19762,25566.8,1.07676e+07,1.14415e+07,291824,359235,1.01666e+08,443.698,615.261,443.698,615.261
0,18,2.27939e+06,19805.8,25621.2,1.0779e+07,1.1453e+07,292396,359924,1.01647e+08,443.785,615.305,443.785,615.305
